ID,Age,Type,Experience,Hospital Location,Patients in Queue,Patients Seen in Lifetime
14185,46,8,30,944,24,1629
6852,51,80,9,943,23,3762
7029,79,46,29,918,1,8766
11726,64,96,28,948,26,3192
5874,39,54,17,902,28,6110
1596,76,57,29,976,21,4802
1403,41,11,19,963,23,5667
10955,43,10,2,967,4,7456
14547,43,75,21,925,19,4700
2183,44,26,27,904,20,4364
12554,50,3,22,958,29,5621
9258,63,28,3,948,24,6247
12013,30,18,9,901,14,5897
5675,39,7,23,962,20,2003
4726,58,36,5,913,4,1816
14915,61,48,27,983,20,4298
12454,46,30,25,983,25,5764
14020,60,50,17,907,1,4197
12087,42,8,14,952,12,9362
12248,49,87,21,937,8,7551
3620,46,9,20,934,16,9126
6324,66,88,9,911,9,8634
4935,51,78,22,957,3,3281
4655,66,76,30,917,5,1246
11358,31,78,18,919,24,4598
12248,66,70,28,975,21,4971
3566,79,99,9,921,8,4121
10873,63,60,16,943,26,3385
14561,77,87,26,902,23,1154
8707,68,43,19,990,22,7246
13141,34,56,11,1000,24,4669
13150,57,96,5,910,3,7273
3608,37,17,7,950,4,1537
9169,39,88,9,956,12,9452
8867,59,18,2,923,17,8090
1406,61,91,13,931,6,2142
3588,32,59,6,943,19,2372
12492,78,95,6,933,11,8853
3163,39,97,28,977,13,6223
7605,56,61,1,1000,18,1914
2486,34,50,0,910,12,6302
2194,58,9,10,913,12,5327
3659,72,89,26,926,6,8853
14427,53,39,24,912,15,2103
917,44,60,29,944,5,5054
4233,45,14,17,947,15,2831
3526,73,34,8,912,11,7952
2583,42,58,18,985,23,5130
14997,79,16,6,977,25,6768
11226,36,97,5,950,4,2730
3252,57,4,1,914,10,8687
11814,39,23,4,995,28,9993
990,64,2,14,978,7,4677
11320,70,58,2,914,10,2268
14510,30,4,6,978,2,8217
4137,55,44,0,941,18,2407
8122,69,35,9,906,23,3756
3581,69,86,12,935,3,5159
1142,37,68,20,945,27,5330
5700,37,98,14,925,11,8496
5892,56,26,19,942,20,8127
11519,41,8,12,909,15,5866
11574,49,33,9,965,6,3373
13576,69,48,9,956,4,8755
5654,70,54,11,997,17,8105
4984,55,3,1,989,13,8809
7241,66,8,23,986,10,7644
14732,61,27,12,979,18,3262
4052,30,21,10,924,3,6763
7648,42,85,1,975,27,2767
8935,40,14,0,905,30,8626
9957,37,2,11,943,10,7772
14725,78,41,16,938,17,3308
11328,37,23,21,920,29,1145
13346,66,89,17,953,15,1431
6821,68,33,1,942,12,7589
6294,58,36,10,967,9,1497
861,61,67,8,958,17,2520
8266,79,47,16,984,20,9515
4279,73,51,5,976,29,7857
10979,53,61,16,970,4,6642
13574,58,16,2,981,8,3043
11194,76,12,25,906,28,4884
3156,72,4,14,911,27,7759
1583,39,30,15,987,6,7004
6910,57,25,8,947,11,2900
11436,78,55,19,915,18,2020
14871,77,30,18,967,24,5160
10489,65,41,19,958,30,2868
4143,71,33,22,940,19,5059
3293,62,49,12,989,10,4128
6960,55,24,10,941,12,4446
5761,80,5,21,945,13,7150
1462,63,9,22,989,3,7453
13849,58,51,28,902,20,6674
1825,70,17,25,930,28,8625
1637,80,21,3,945,16,6140
6868,37,54,9,937,11,7721
12625,36,14,11,921,13,2124
4252,36,9,27,983,4,7936
14461,49,59,25,949,30,4977
9229,69,11,5,954,12,9473
12019,46,11,0,952,16,7157
589,44,67,0,942,3,4649
13468,75,35,2,930,29,2008
4232,72,8,7,923,14,8466
1520,60,23,1,948,21,1214
4872,79,40,29,997,10,2832
12387,62,69,8,955,25,4141
7217,30,37,1,978,6,1342
1468,54,21,18,926,5,8641
14557,57,26,25,938,14,1865
1948,52,33,10,991,18,1769
8058,41,14,20,940,28,9099
8330,64,34,24,1000,23,5720
4025,56,12,7,995,6,1520
5725,80,57,28,919,8,2816
12395,44,59,11,930,8,8221
3689,56,66,20,939,10,3851
14506,74,73,13,963,16,5187
5836,78,12,30,990,23,9795
13421,74,31,3,989,4,9185
968,63,85,18,965,21,1075
1487,71,22,23,936,23,8415
1652,67,19,8,905,29,8524
7732,75,17,3,923,30,9625
1865,41,97,1,923,13,2226
12835,34,70,7,932,4,7961
9211,74,6,26,939,28,1780
800,50,95,19,984,20,6346
8787,77,94,29,908,1,8451
12451,62,97,18,942,3,3956
8341,33,12,3,975,29,8875
11482,78,48,18,939,30,6578
2734,69,51,4,982,26,7350
4004,55,3,8,995,28,2112
10315,60,100,25,969,23,5756
14289,71,56,16,961,18,2320
4937,41,31,15,927,27,8179
12732,71,33,2,937,7,6703
12998,53,12,25,964,16,2362
1926,40,6,19,944,22,9263
14632,48,5,14,987,23,8293
10004,50,8,11,990,4,8117
1390,63,80,10,977,7,7756
3557,32,95,5,917,6,9205
13553,41,64,23,922,19,3384
10244,45,20,5,991,29,3225
13039,54,69,9,915,24,9661
7124,67,83,3,914,13,5996
9358,47,98,13,931,6,5578
5667,69,4,23,942,10,5125
2791,33,85,25,976,8,6022
14732,45,69,5,985,1,4613
10881,66,45,15,911,12,9800
9094,31,11,1,945,25,8263
11996,41,77,14,981,23,1882
6198,33,13,23,952,17,5141
12521,61,34,13,950,18,5902
2774,39,7,17,917,9,5347
13396,66,34,7,918,12,1966
7741,78,64,15,936,18,9934
12188,68,49,25,974,5,6246
3042,61,63,10,932,21,2334
2119,35,72,8,955,10,7077
1035,73,57,30,909,22,5326
8463,43,29,13,924,26,4390
2136,39,10,5,968,10,9659
12421,80,83,6,968,9,1721
10662,35,73,22,908,13,4918
13447,44,73,5,999,27,8382
9866,32,74,25,905,15,7094
11833,55,19,11,933,16,6800
6708,52,100,6,930,27,8074
13308,57,34,24,963,8,3801
1290,64,6,15,906,3,9436
4707,56,28,20,940,14,2803
2673,78,62,14,988,11,2461
3089,44,52,24,957,28,2599
6874,72,85,1,983,7,2220
13867,58,15,1,903,17,5683
4150,55,91,29,943,4,9431
5899,71,16,8,953,6,4109
4960,45,8,28,998,27,9272
13028,62,52,8,927,9,4030
7831,67,7,22,949,26,1669
12127,56,44,3,999,3,4156
14358,55,14,5,988,30,3898
11747,50,91,29,983,8,7276
13771,33,63,4,959,5,3927
10111,49,48,13,980,5,3386
4246,51,81,28,944,7,3567
12965,38,57,15,976,12,6366
9830,78,19,22,944,10,5924
10805,64,50,0,996,10,9957
6076,57,97,7,903,12,7203
13964,50,25,6,924,28,4307
9119,58,37,19,912,8,2000
14940,47,62,21,906,26,3739
2705,38,13,30,995,20,6541
12615,68,18,21,995,4,9594
3356,39,18,2,920,10,9125
11412,54,9,30,937,12,9829
2005,59,50,27,921,2,3436
5311,79,36,7,911,1,5256
8210,53,55,29,907,15,9988
8752,68,78,17,907,24,4070
4540,41,16,9,933,16,5089
7693,54,58,2,915,22,1734
13932,36,37,14,903,25,1246
2510,39,77,28,985,24,6352
8626,73,95,0,919,21,7650
10104,55,33,0,910,29,8498
7067,70,43,0,971,2,5207
6832,44,3,7,915,13,7391
6931,70,95,22,958,7,9268
1380,77,5,23,910,16,7743
7367,56,44,17,903,5,8084
5820,62,89,7,977,11,9909
5458,45,69,28,922,23,6280
7697,53,22,30,958,28,3319
7650,77,34,24,902,3,3284
8859,69,100,10,923,29,3119
12816,60,65,24,905,16,3126
13501,44,38,16,991,30,2298
3567,48,46,11,917,4,9461
2852,61,83,27,982,19,4905
2236,70,77,23,948,21,2640
3001,69,34,21,942,11,9816
13643,61,25,27,924,18,3109
9417,40,58,11,971,22,5372
13182,79,64,21,967,28,3461
4953,51,56,10,915,20,7262
6695,37,22,19,945,28,6996
4056,63,31,30,981,19,4537
10446,59,23,24,932,18,1248
6115,71,99,19,970,9,1468
926,61,18,2,948,9,3129
920,45,78,24,946,12,5356
11159,47,81,26,978,12,3378
12712,32,48,12,958,3,4765
9030,57,80,3,939,18,2323
12335,72,94,17,992,27,7749
7703,44,61,17,906,8,4697
10399,39,65,24,903,9,1414
12909,78,30,28,949,10,6029
10863,55,30,18,982,23,2694
4142,43,60,22,940,25,5320
8748,74,15,13,973,28,4678
4985,58,38,29,913,29,4454
12360,38,23,25,961,12,9492
3469,72,86,19,959,6,9912
12776,38,39,5,998,4,2648
1200,57,31,22,933,4,7586
7651,71,53,17,935,19,8390
541,60,94,14,918,8,5585
11327,33,94,3,932,4,3950
2668,41,99,27,986,21,5520
7414,30,4,23,911,26,4757
8218,79,89,6,934,18,7966
5257,44,43,29,933,1,8007
3449,57,32,9,961,9,4798
714,57,42,11,934,25,8226
12891,63,25,4,926,16,8893
4086,60,36,1,950,15,7349
2100,77,22,24,960,10,2514
12503,38,79,12,985,7,9925
14260,70,35,25,955,27,1241
7893,36,93,30,965,29,8143
1006,70,7,15,916,24,2988
10253,79,57,29,921,30,4366
10642,60,72,18,995,28,3234
4397,80,68,26,984,2,8115
5196,43,42,2,995,10,5804
6836,67,8,7,953,30,5098
12057,71,51,22,986,11,9207
12161,40,9,19,919,18,9681
12753,72,3,18,979,15,5297
14849,70,83,21,912,28,1785
10817,32,97,5,922,10,4453
10430,61,83,8,915,24,9400
7376,61,7,10,917,3,8919
3719,38,97,25,975,15,4744
4324,56,2,27,974,30,9336
13870,39,71,2,994,10,1098
3649,75,21,8,929,23,2075
4555,35,35,15,939,24,4763
13590,37,25,19,950,24,8091
4635,49,11,0,919,7,6995
12100,57,100,24,927,21,1755
6305,32,56,27,969,11,5030
11659,66,82,26,938,21,9351
11623,54,7,27,927,24,1629
2984,53,82,25,925,3,1602
5278,79,58,27,952,12,1573
4458,42,27,15,969,23,9070
13821,30,81,30,906,8,4162
4534,46,56,1,945,10,1424
9886,63,37,13,974,11,4874
9783,47,33,24,945,14,4729
9938,41,73,11,926,4,4529
2526,41,16,3,907,19,5327
1784,30,77,15,900,15,9359
2905,77,95,23,997,15,3695
4161,61,52,25,903,9,7249
3382,48,55,14,978,16,8860
1480,43,51,4,954,11,3794
1288,79,40,16,981,9,4746
2475,48,85,21,964,27,1249
4090,57,11,17,972,17,1583
11649,56,92,29,900,3,5555
12868,46,89,12,929,1,7398
8429,80,85,10,935,7,8458
1493,71,44,17,975,1,1415
9377,30,73,5,919,25,4839
13613,33,68,25,983,23,1666
985,71,99,21,982,10,3462
12581,65,46,10,974,27,8858
7978,65,35,29,927,28,7083
9006,35,30,10,954,13,1614
11444,74,29,8,993,2,5813
9886,45,35,15,979,27,4811
3978,43,44,30,951,27,1911
11408,47,77,1,908,1,8344
6577,30,90,14,916,28,4797
7941,34,95,3,942,24,1630
6156,44,65,9,925,15,5672
13741,32,93,21,924,22,9011
1826,75,22,1,948,24,9878
3864,57,53,15,1000,29,8689
2325,31,25,7,951,5,5262
2765,77,25,4,989,16,8653
4747,74,31,1,968,18,1547
7828,71,30,13,923,19,4821
628,63,77,21,969,17,6419
4473,44,58,13,953,11,6487
902,31,29,27,962,25,4158
8009,34,27,8,987,24,8011
8047,76,10,4,980,2,4457
4144,46,17,19,932,16,4873
13823,51,63,11,951,13,8548
12401,55,22,17,982,21,1276
13685,32,16,30,912,24,1937
7415,76,82,6,957,4,3059
9462,65,85,10,960,11,5223
1833,78,31,13,914,26,9475
2426,45,91,17,972,6,7349
8099,58,46,5,978,1,8429
7740,51,81,27,906,4,1931
710,78,36,1,1000,1,6918
3735,31,75,24,922,16,9914
13991,60,64,3,982,2,9919
2073,52,67,0,934,9,4178
6590,58,80,1,959,7,3565
14003,42,59,4,948,8,4207
3368,62,48,12,919,6,4147
2256,30,79,7,933,13,1996
8059,52,36,24,982,1,7244
5647,79,21,6,944,10,1196
13883,40,75,8,911,14,6553
9421,51,28,13,903,5,1197
8466,68,16,17,925,10,3791
9416,41,29,11,948,10,1233
10648,35,11,10,957,30,9623
14052,68,4,18,993,15,3938
3814,54,23,30,996,17,7322
14488,59,39,3,960,26,4075
13626,54,52,6,989,30,7643
1789,37,81,22,939,29,1179
13115,45,34,30,923,11,3117
7076,77,31,17,946,7,9590
12526,80,76,28,961,8,4446
4035,67,74,17,959,6,6192
2888,57,34,0,918,2,2220
11824,75,12,5,971,4,1264
13570,53,29,3,952,19,7162
7919,77,92,22,932,28,6705
4492,58,72,17,932,30,6483
11589,61,74,13,919,9,8069
13755,44,78,2,914,23,9968
4468,74,85,3,910,17,4301
5564,61,24,13,972,2,2362
9984,41,82,12,946,4,7681
9937,30,23,10,916,24,2112
14341,58,69,0,948,3,6485
7970,53,47,11,999,19,3486
6229,55,23,21,973,7,4057
7204,33,35,6,947,18,2161
3898,64,37,20,931,11,8421
1386,65,28,12,913,24,7640
3127,52,1,5,913,29,8740
8391,44,16,12,946,9,2514
705,52,30,20,958,19,3678
6244,31,3,1,986,21,6774
11119,30,32,27,931,15,4195
11618,38,54,5,985,21,3553
11876,48,92,8,984,3,6874
12069,40,26,11,914,11,4067
952,50,38,27,956,28,8905
2452,48,84,18,984,9,9983
14582,79,52,1,913,6,6537
5389,57,85,3,930,5,7271
1235,79,94,26,933,17,9696
5948,65,28,22,951,23,6253
5010,65,82,23,934,24,9619
13762,74,72,9,941,16,5901
3150,51,47,21,921,25,2626
695,37,74,11,990,5,3855
9002,56,42,0,957,25,5363
2615,40,12,19,938,7,7586
895,77,17,3,995,10,8291
2256,36,30,2,986,24,6089
4681,53,60,27,989,27,6243
4400,48,38,15,912,15,1359
1557,39,28,30,909,17,8183
8066,36,28,13,928,28,6687
4534,37,47,23,905,17,9067
6336,59,53,6,959,18,6175
3733,61,18,12,998,6,8479
3743,31,61,28,997,6,3292
7431,30,73,16,960,9,8548
5287,34,83,28,995,26,2170
5138,50,11,17,938,23,1910
4009,41,63,19,946,19,9613
10508,63,84,28,921,18,2347
9706,49,82,18,998,3,1626
13903,59,91,14,943,25,9133
13073,73,64,29,913,25,7886
2942,62,18,20,992,13,1380
10497,65,79,25,971,13,6653
6678,31,84,7,973,2,7632
9168,37,34,20,904,14,8736
5518,76,3,23,914,17,9708
7550,52,45,10,921,28,6605
2042,60,73,12,954,26,3187
14071,59,99,8,962,25,9587
2258,41,47,7,1000,3,8322
5039,47,1,12,951,26,6434
3155,73,76,3,956,30,2529
2972,51,82,7,922,28,9685
6634,55,65,19,964,30,5370
3548,36,94,6,982,8,4209
14130,78,61,0,921,9,6490
13531,78,7,21,958,2,7053
2541,60,62,24,988,6,9051
6976,61,53,13,951,25,9054
8922,76,36,0,998,17,8211
6578,65,3,12,986,10,6189
8815,72,28,29,946,1,4284
7643,80,58,2,931,26,6910
13017,44,82,6,930,20,5320
10430,34,56,22,975,16,2698
7253,78,69,26,959,27,4245
14379,43,73,13,985,2,6478
14388,48,86,29,951,12,3980
10011,69,16,13,996,22,4384
6832,73,51,5,954,8,8376
2972,35,28,22,935,10,8505
9753,40,69,15,947,29,9798
10879,74,30,20,956,11,1579
7635,49,7,10,906,1,2459
7891,72,84,25,970,28,1157
1827,30,19,13,986,19,8222
6273,42,19,10,951,30,5521
9931,68,4,7,914,26,6781
10667,56,48,6,927,15,3134
8820,79,39,25,982,11,4241
9098,50,83,23,989,25,8728
9415,66,81,11,956,20,8020
12066,52,36,29,995,13,3508
3408,41,61,0,953,8,3142
13260,44,13,14,983,7,2778
9135,47,47,2,906,17,7599
12369,54,55,19,959,16,8622
14051,44,58,2,996,2,4748
14937,61,70,11,960,12,4148
13587,74,2,3,987,6,8094
3103,79,25,23,970,15,3071
3069,78,18,2,929,14,6247
6864,37,43,13,909,13,7126
1289,31,7,7,938,4,4769
5129,49,40,15,965,3,8122
1625,76,95,5,919,4,5196
5587,43,1,15,920,5,8944
8400,62,50,19,964,28,2180
1257,76,47,21,935,17,7119
10225,62,18,11,952,2,7937
12032,42,21,9,913,9,8721
12427,44,14,26,962,15,9193
12357,76,16,16,904,12,8274
2846,37,7,0,993,7,8316
2569,51,59,7,904,13,7662
11587,48,77,1,982,29,1337
9085,42,5,29,902,24,1214
2154,36,84,5,902,25,1554
6406,75,53,12,915,13,8685
13221,62,7,6,923,24,8782
4411,52,52,19,952,2,9654
13026,38,52,19,980,27,5345
1871,54,37,29,981,4,2161
4797,54,58,1,990,9,3648
9018,72,93,28,959,19,6938
1040,52,73,23,939,4,3505
4132,53,87,13,920,15,3375
1375,40,25,22,979,27,8211
14807,73,43,5,945,15,4899
12426,68,78,26,920,7,9052
3134,54,47,6,925,28,6864
3208,41,69,25,956,28,8550
6014,30,70,6,912,23,5372
13511,57,16,1,909,20,6934
10961,66,44,30,960,29,8081
6841,61,10,11,946,11,5371
5085,63,100,21,931,18,7279
9683,71,93,4,962,26,4299
7467,69,97,12,936,15,6756
12588,63,24,19,975,2,1856
14960,64,92,1,930,1,7505
2240,31,67,27,990,24,2038
11014,32,6,0,964,21,9628
3477,68,90,21,927,13,9558
6081,48,78,1,981,20,7964
2941,36,23,1,907,20,8528
14861,52,73,15,915,14,5565
3504,50,1,14,919,8,6540
14266,73,33,10,994,26,9774
12126,73,87,2,911,15,9266
7970,43,62,25,959,14,2182
1943,31,8,6,971,22,3942
883,38,6,4,947,12,9151
8707,64,83,4,956,9,6583
3400,59,89,15,936,28,9681
12921,56,82,29,935,7,9857
13553,35,58,5,907,30,8682
12063,35,78,18,930,21,2465
7476,63,43,25,957,4,7000
14669,33,44,30,967,14,9514
5239,80,69,26,964,8,4376
11975,50,86,18,942,6,9702
9102,64,50,8,928,15,6389
3327,46,21,28,931,20,6124
1069,59,25,10,947,30,9363
9696,42,60,17,967,16,9366
11956,80,10,21,968,21,5758
3580,41,49,12,964,24,6878
7213,53,30,27,969,28,6373
9739,40,47,16,995,29,2681
7099,37,53,2,936,19,7780
8642,63,51,13,959,26,5157
7700,68,49,14,943,2,7168
4728,40,85,25,977,3,7212
14287,62,8,9,984,14,9947
13674,55,18,17,933,7,9568
9620,64,95,13,977,27,4131
8890,47,41,27,964,19,7398
12876,45,35,6,930,17,3289
8273,54,93,23,948,24,6008
13683,50,68,19,934,3,8560
7235,78,46,20,935,7,9276
4685,49,17,30,952,8,8790
10075,31,71,12,970,30,3333
6532,39,52,8,918,19,6077
9890,35,35,24,959,5,6577
8267,53,75,12,943,19,5745
3122,54,5,17,962,12,9628
14303,45,72,25,954,3,2783
13980,51,9,21,989,6,5074
3736,55,5,29,907,27,5952
5058,63,24,25,992,2,2833
5176,37,67,17,965,19,3530
13139,60,41,18,968,13,8231
2571,52,17,5,965,25,9700
6376,45,13,23,972,17,7971
9776,35,25,5,997,27,1438
8478,57,7,8,973,2,9567
14542,60,31,18,905,2,1984
3137,58,1,16,980,25,8532
10121,64,45,3,903,9,7987
10261,40,33,27,958,24,8760
9889,63,34,7,939,8,8867
1081,38,10,17,902,26,1708
13367,65,45,20,974,21,9004
3347,65,14,13,938,9,9378
8154,31,97,22,943,13,5690
10479,66,38,6,916,11,3885
13181,76,50,5,989,6,6315
11007,69,6,27,979,5,2916
10067,31,62,13,904,16,2807
2373,34,33,12,917,10,2483
9777,58,20,10,951,23,7689
1583,44,42,26,937,8,3595
7967,74,40,14,911,4,3861
1194,35,98,15,986,4,8198
1891,41,22,30,967,14,8916
3224,33,50,8,974,25,7027
601,72,16,16,979,13,9008
1721,58,44,8,1000,22,4277
976,47,16,12,921,20,1890
5572,36,49,22,912,17,1558
9346,54,18,30,914,11,4340
13274,66,1,10,967,29,4811
12101,65,85,8,925,4,5269
8889,70,46,0,987,26,2040
11275,67,14,20,987,13,8968
1842,71,46,8,990,3,6380
10818,52,45,10,960,28,3815
5930,36,41,8,972,1,3288
4998,42,78,15,918,22,9336
8778,67,17,22,961,10,2823
6549,38,9,13,930,5,8462
1531,53,31,8,904,3,6775
11135,70,50,28,978,23,7747
4285,79,14,19,965,12,2816
14879,43,72,3,982,24,2355
6075,37,29,6,969,1,6508
1166,70,87,9,934,4,8681
3001,46,5,18,906,19,2150
13197,43,24,0,902,21,7320
13204,66,28,7,931,3,6028
2488,46,29,20,987,5,3222
9227,36,42,29,929,27,7800
14248,53,79,11,935,12,2691
2983,55,75,17,1000,28,1609
13458,76,95,28,908,16,4988
1959,74,69,11,928,14,6836
11454,75,38,2,977,3,5191
7873,60,54,16,901,25,1103
4674,31,73,6,952,23,7533
13730,59,92,28,936,12,3456
5767,75,56,6,928,26,8128
2094,59,22,24,943,23,4894
1015,57,21,28,977,11,8676
13352,37,47,0,915,21,9117
3509,59,78,27,981,4,7362
5889,58,60,22,952,6,7428
9207,51,16,9,910,13,2505
1439,60,49,25,990,4,2396
4225,30,70,27,992,30,4026
13038,33,69,6,964,4,5114
7635,41,72,22,969,15,5028
655,59,16,22,977,19,9396
2920,76,89,14,915,28,6470
13784,39,86,5,991,8,8840
12565,51,64,30,901,27,2453
12077,65,74,1,900,23,7300
10123,66,48,21,989,4,5833
4588,53,63,9,967,11,9540
14939,41,78,24,967,12,2656
14435,38,87,8,953,25,3636
11502,35,97,6,945,13,8092
11358,68,71,18,933,16,9469
12376,49,3,6,973,8,9580
4981,69,95,19,951,3,7112
1941,74,5,4,972,9,8315
5702,34,12,25,941,28,4982
2689,74,33,4,993,19,1781
5658,31,15,20,976,27,9524
8085,31,37,5,915,30,1569
2145,37,22,27,992,20,6469
10143,47,3,9,979,18,3204
7653,33,91,6,988,23,5804
3151,47,26,0,982,15,7051
7765,50,42,26,947,23,3507
12098,51,76,19,908,18,1845
2286,55,54,17,946,11,9196
8051,42,41,26,952,21,5832
13374,59,28,11,917,8,9206
7995,44,6,17,940,26,9212
11727,33,11,9,983,23,1296
13435,75,38,21,999,29,8877
13442,66,41,11,937,15,8436
12612,38,93,10,965,13,3253
6871,57,51,4,997,14,2753
2490,79,81,22,987,14,4400
11707,60,79,12,966,1,8150
6870,39,46,21,990,30,2875
14062,77,59,28,914,29,8995
9159,39,83,9,937,21,3374
6566,61,41,4,936,20,5142
13519,65,97,14,918,30,5240
14286,70,64,15,934,24,3891
1919,73,65,21,961,7,2277
7143,52,87,21,934,15,5365
6049,58,29,21,968,11,6168
9510,77,79,1,997,28,4229
639,79,55,14,935,15,4664
2053,55,80,5,981,20,1147
9933,52,5,30,962,27,8850
7108,64,2,28,901,11,9118
4666,73,96,5,973,4,3477
3970,49,57,26,991,29,6558
6521,39,4,26,966,22,3573
14117,68,94,27,958,2,9843
14312,47,83,8,913,10,3449
1478,35,37,23,972,18,5286
13907,37,68,11,922,27,2668
12600,55,59,20,968,30,4228
5097,63,88,11,997,7,7061
6039,73,27,19,983,27,1714
6193,67,5,11,952,23,6379
6029,41,53,5,920,30,3882
4204,51,29,10,988,11,4204
14154,30,39,14,941,24,6940
13115,69,74,29,911,10,6395
12720,41,25,3,957,7,3670
8625,74,62,3,969,29,7542
14830,31,92,5,971,13,6119
14023,63,34,25,911,6,1226
4727,49,98,7,965,4,8943
5706,59,71,6,949,6,1965
2109,73,17,16,944,12,2676
11317,42,49,7,996,17,7293
2945,59,61,11,999,29,8909
5959,43,87,15,997,29,2548
13335,47,17,11,979,10,9723
5683,52,67,12,926,3,8214
7261,52,18,21,984,10,6062
13691,70,59,7,948,2,6304
13045,41,31,6,904,3,7839
3718,53,45,16,930,21,9231
7249,47,85,17,986,18,8904
14958,37,68,22,902,1,4035
12260,41,39,10,978,22,9223
7234,79,60,24,966,27,7968
13691,59,21,16,913,3,3484
12131,72,14,10,937,13,4032
7232,30,58,21,950,30,1631
13482,65,95,10,969,5,8692
10822,35,74,19,963,27,8805
14594,47,28,25,992,29,6974
8675,48,14,19,984,9,8923
4641,70,29,5,996,18,2907
14730,74,24,28,907,5,5727
10541,80,80,30,970,13,6298
8681,75,5,23,909,7,2579
8816,46,100,18,974,14,9377
10992,45,78,9,982,6,9319
4338,49,54,10,956,4,2118
9526,58,4,5,990,20,2572
1882,48,65,13,911,26,5444
8354,58,4,19,904,12,5088
7300,52,85,0,994,14,7681
1363,31,41,9,939,29,9383
2652,45,5,11,971,23,9365
14975,40,28,21,915,24,2747
9864,53,31,18,966,17,7747
10806,50,70,24,995,10,8749
12695,71,52,29,996,21,5072
1606,51,86,11,937,19,6793
14146,70,28,22,967,2,8347
815,56,39,22,972,7,5295
4648,63,79,19,923,23,9100
7642,63,3,16,965,26,9115
10291,32,97,27,967,18,5119
2237,51,66,21,944,25,1777
5231,72,39,13,941,13,9846
5922,56,70,19,955,1,2039
7898,74,90,10,974,1,3982
4009,57,53,14,958,14,2952
10182,54,55,3,925,19,9563
4995,58,68,24,901,9,3738
1844,37,63,8,976,23,9511
10213,64,96,16,975,20,7778
7935,63,4,7,913,6,8726
9818,52,56,24,912,12,1972
520,45,56,27,986,26,8358
9811,30,86,22,999,22,9928
1591,74,72,9,968,23,8352
12801,30,12,22,967,18,2987
10669,46,69,20,991,4,2890
10564,31,98,15,954,13,6482
4313,71,45,4,927,18,4174
3839,69,35,17,963,22,1119
13814,33,6,26,961,26,8672
9752,58,44,5,922,9,5051
11230,65,36,22,909,16,6786
12201,42,70,7,915,7,9077
7449,75,46,14,964,28,6251
3336,49,7,19,956,1,9409
10880,73,66,19,967,18,8718
7179,66,25,22,951,4,8366
7935,70,60,14,902,5,6009
1589,48,61,5,905,3,7475
2736,68,65,21,996,29,5699
9696,62,70,6,956,22,3588
12295,36,18,0,978,21,4204
14121,74,100,14,910,23,5309
7224,64,92,2,917,12,9224
